text,id,primary_topic,secondary_topic,doc_id,processed_text,topic,Topic_Label
analysis analysis specifically analysis algorithmic analysis analysis in terms of risk data analysis models financial for risk trading risk prediction regarding models data analysis,doc_40,Financial Technology,Data Science,doc_39,analysis analysis specifically analysis algorithmic analysis analysis term risk datum analysis model financial risk trading risk prediction model data analysis,Topic_10,"Financial & Analysis & Prediction (market, financial)"
imaging pathology specifically imaging deep analysis imaging and analysis deep,doc_41,Healthcare Analytics,None,doc_40,image pathology specifically image deep analysis imaging analysis deep,Topic_9,"AI & Medical & Detection (imaging, deep)"
text transformers also processing transformers processing tokens regarding language,doc_42,AI Technology,None,doc_41,text transformer process transformer process token language,Topic_0,"Language & Generation (token, natural)"
learning diagnosis specifically detection detection detection detection specifically detection prediction deep learning diagnosis with deep medical medical imaging also imaging,doc_43,Healthcare Analytics,AI Technology,doc_42,learn diagnosis specifically detection detection detection detection specifically detection prediction deep learning diagnosis deep medical medical imaging image,Topic_9,"AI & Medical & Detection (imaging, deep)"
decision decision concerning clinical algorithms decision,doc_44,Healthcare Analytics,None,doc_43,decision decision concern clinical algorithm decision,Noise,"Data Science & Datum & Algorithm (analysis, prediction)"
forecasting analysis for prediction grid models forecasting specifically optimization grid analysis consumption concerning data consumption optimization,doc_45,Sustainable Energy,AI Technology,doc_44,forecast analysis prediction grid model forecast specifically optimization grid analysis consumption concern data consumption optimization,Topic_6,"Energy & Optimization & Grid (consumption, analysis)"
models prediction specifically power power wind models including prediction renewable solar efficiency for generation wind forecasting renewable specifically forecasting,doc_46,Sustainable Energy,AI Technology,doc_45,model prediction specifically power power wind model include prediction renewable solar efficiency generation wind forecasting renewable specifically forecast,Noise,"Data Science & Datum & Algorithm (analysis, prediction)"
data regression with visualization analysis visualization insights in terms of insights correlation data visualization,doc_47,Data Science,None,doc_46,datum regression visualization analysis visualization insight term insight correlation datum visualization,Topic_14,"Data Science & Visualization & Datum (matplotlib, science)"
visualization data and science matplotlib projects projects including visualization,doc_48,Data Science,None,doc_47,visualization datum science matplotlib project project include visualization,Topic_14,"Data Science & Visualization & Datum (matplotlib, science)"
machine learning concerning accuracy classification learning algorithms concerning accuracy,doc_49,Data Science,None,doc_48,machine learning concern accuracy classification learning algorithm concern accuracy,Noise,"Data Science & Datum & Algorithm (analysis, prediction)"
patient data modeling concerning classification modeling algorithms patient data regarding learning algorithms classification patient data and prediction,doc_50,Data Science,Healthcare Analytics,doc_49,patient datum model concern classification modeling algorithm patient datum learn algorithm classification patient datum prediction,Topic_15,"AI & Datum & Artificial (neural, intelligence)"
renewable solar and renewable energy hydroelectric energy specifically efficiency power solar efficiency specifically hydroelectric power hydroelectric efficiency,doc_51,Sustainable Energy,None,doc_50,renewable solar renewable energy hydroelectric energy specifically efficiency power solar efficiency specifically hydroelectric power hydroelectric efficiency,Topic_3,"Energy & Efficiency & Hydroelectric (generation, energy)"
optimization data specifically smart optimization data forecasting and consumption,doc_52,Sustainable Energy,None,doc_51,optimization datum specifically smart optimization datum forecasting consumption,Topic_6,"Energy & Optimization & Grid (consumption, analysis)"
pandas numpy and data visualization data python about matplotlib science python numpy and,doc_53,Data Science,None,doc_52,panda numpy datum visualization datum python matplotlib science python numpy,Topic_14,"Data Science & Visualization & Datum (matplotlib, science)"
deep networks about data data artificial data in terms of training deep algorithms networks specifically data networks,doc_54,AI Technology,None,doc_53,deep network data datum artificial datum term train deep algorithms network specifically datum network,Topic_15,"AI & Datum & Artificial (neural, intelligence)"
data detection about machine analysis detection patterns also patterns learning financial fraud,doc_55,Financial Technology,None,doc_54,datum detection machine analysis detection pattern pattern learn financial fraud,Topic_13,"Financial & Fraud & Detection (financial, datum)"
policy reinforcement for policy reinforcement agents policy about,doc_56,AI Technology,None,doc_55,policy reinforcement policy reinforcement agent policy,Topic_7,"Optimization & Policy (reinforcement, reward)"
optimization data regarding smart consumption consumption models,doc_57,Sustainable Energy,None,doc_56,optimization datum smart consumption consumption model,Topic_6,"Energy & Optimization & Grid (consumption, analysis)"
financial data including learning detection financial fraud also financial learning,doc_58,Financial Technology,None,doc_57,financial datum include learn detection financial fraud financial learning,Topic_13,"Financial & Fraud & Detection (financial, datum)"
technology energy and batteries storage technology storage regarding energy efficiency storage,doc_59,Sustainable Energy,None,doc_58,technology energy battery storage technology storage energy efficiency storage,Topic_1,"Energy & Technology & Energy (battery, efficiency)"
diagnosis analysis with learning medical medical imaging detection specifically prediction,doc_60,Healthcare Analytics,AI Technology,doc_59,diagnosis analysis learn medical medical imaging detection specifically prediction,Topic_9,"AI & Medical & Detection (imaging, deep)"
models models including optimization smart consumption optimization related to,doc_61,Sustainable Energy,None,doc_60,model model include optimization smart consumption optimization relate,Topic_6,"Energy & Optimization & Grid (consumption, analysis)"
ledger contracts including smart algorithms algorithms algorithms for prediction cryptocurrency cryptocurrency data analysis in terms of,doc_62,Financial Technology,Data Science,doc_61,ledger contract include smart algorithm algorithm algorithm prediction cryptocurrency cryptocurrency datum analysis term,Topic_4,"Transaction & Distribute (smart, blockchain)"
algorithms artificial with intelligence learning artificial deep related to data networks data artificial for neural deep training neural,doc_63,AI Technology,None,doc_62,algorithms artificial intelligence learning artificial deep relate data network datum artificial neural deep training neural,Topic_15,"AI & Datum & Artificial (neural, intelligence)"
modeling algorithms about classification machine accuracy learning concerning algorithms modeling classification algorithms with classification,doc_64,Data Science,None,doc_63,modeling algorithm classification machine accuracy learn concern algorithm model classification algorithm classification,Noise,"Data Science & Datum & Algorithm (analysis, prediction)"
trading market related to analysis prediction models financial also algorithmic analysis,doc_65,Financial Technology,None,doc_64,trading market relate analysis prediction model financial algorithmic analysis,Topic_10,"Financial & Analysis & Prediction (market, financial)"
optimization agents specifically environments reinforcement,doc_66,AI Technology,None,doc_65,optimization agent specifically environment reinforcement,Topic_7,"Optimization & Policy (reinforcement, reward)"
intelligence artificial in terms of deep intelligence learning data for artificial networks data training concerning networks artificial algorithms,doc_67,AI Technology,None,doc_66,intelligence artificial term deep intelligence learn datum artificial network datum training concern network artificial algorithm,Topic_15,"AI & Datum & Artificial (neural, intelligence)"
pathology learning with detection diagnosis medical medical including learning detection,doc_68,Healthcare Analytics,None,doc_67,pathology learn detection diagnosis medical medical include learn detection,Topic_9,"AI & Medical & Detection (imaging, deep)"
transactions cryptocurrency and contracts ledger distributed blockchain for cryptocurrency transactions cryptocurrency contracts,doc_69,Financial Technology,None,doc_68,transaction cryptocurrency contract ledger distribute blockchain cryptocurrency transaction cryptocurrency contract,Topic_4,"Transaction & Distribute (smart, blockchain)"
energy efficiency and batteries energy energy capacity regarding energy technology energy technology in terms of capacity energy,doc_70,Sustainable Energy,None,doc_69,energy efficiency battery energy energy capacity energy technology energy technology term capacity energy,Topic_1,"Energy & Technology & Energy (battery, efficiency)"
training data specifically training learning training neural including neural artificial neural training,doc_71,AI Technology,None,doc_70,training datum specifically train learning training neural include neural artificial neural training,Topic_15,"AI & Datum & Artificial (neural, intelligence)"
big data also hadoop hadoop big data concerning hadoop pipelines hadoop computation and computation hadoop spark processing,doc_72,Data Science,None,doc_71,big datum hadoop hadoop big datum concern hadoop pipeline hadoop computation computation hadoop spark processing,Topic_2,"Datum & Computation (big, spark)"
ledger algorithms and ledger distributed cryptocurrency transactions and smart blockchain contracts contracts including algorithms contracts distributed,doc_73,Financial Technology,Data Science,doc_72,ledger algorithm ledger distribute cryptocurrency transaction smart blockchain contract contract include algorithm contract distribute,Topic_4,"Transaction & Distribute (smart, blockchain)"
outcomes effectiveness related to outcomes analysis effectiveness effectiveness,doc_74,Healthcare Analytics,None,doc_73,outcomes effectiveness relate outcome analysis effectiveness effectiveness,Noise,"Data Science & Datum & Algorithm (analysis, prediction)"
algorithms training specifically artificial neural networks intelligence regarding neural data artificial artificial and algorithms neural learning data for,doc_75,AI Technology,None,doc_74,algorithm training specifically artificial neural network intelligence neural datum artificial artificial algorithm neural learn datum,Topic_15,"AI & Datum & Artificial (neural, intelligence)"
algorithms modeling concerning data analysis accuracy modeling data analysis including classification machine modeling modeling for predictive learning algorithms data analysis,doc_76,Data Science,Healthcare Analytics,doc_75,algorithm modeling concern datum analysis accuracy modeling datum analysis include classification machine modeling modeling predictive learning algorithm datum analysis,Noise,"Data Science & Datum & Algorithm (analysis, prediction)"
regression insights about insights regression visualization statistics for visualization insights,doc_77,Data Science,None,doc_76,regression insight insight regression visualization statistic visualization insight,Topic_14,"Data Science & Visualization & Datum (matplotlib, science)"
distributed prediction also contracts cryptocurrency ledger contracts related to blockchain smart transactions contracts regarding blockchain models,doc_78,Financial Technology,Data Science,doc_77,distribute prediction contract cryptocurrency ledger contract relate blockchain smart transaction contract blockchain model,Topic_4,"Transaction & Distribute (smart, blockchain)"
intelligence artificial specifically algorithms data training training with algorithms artificial artificial networks,doc_79,AI Technology,None,doc_78,intelligence artificial specifically algorithm datum training training algorithms artificial artificial network,Topic_15,"AI & Datum & Artificial (neural, intelligence)"
smart distributed about distributed data analysis algorithms cryptocurrency including blockchain models blockchain transactions with data analysis cryptocurrency algorithms,doc_80,Financial Technology,Data Science,doc_79,smart distribute distribute datum analysis algorithm cryptocurrency include blockchain model blockchain transaction datum analysis cryptocurrency algorithm,Topic_4,"Transaction & Distribute (smart, blockchain)"
processing pipelines concerning data processing data big about computation spark data computation regarding processing computation,doc_81,Data Science,None,doc_80,process pipeline concern datum processing datum big computation spark datum computation processing computation,Topic_2,"Datum & Computation (big, spark)"
numpy science including data python matplotlib data with,doc_82,Data Science,None,doc_81,numpy science include datum python matplotlib datum,Topic_14,"Data Science & Visualization & Datum (matplotlib, science)"
regression computer also models prediction regression models,doc_83,AI Technology,None,doc_82,regression computer model prediction regression model,Noise,"Data Science & Datum & Algorithm (analysis, prediction)"
evidence decision specifically evidence support decision clinical for,doc_84,Healthcare Analytics,None,doc_83,evidence decision specifically evidence support decision clinical,Noise,"Data Science & Datum & Algorithm (analysis, prediction)"
analysis statistics in terms of statistics data statistics insights,doc_85,Data Science,None,doc_84,analysis statistic term statistic datum statistic insight,Noise,"Data Science & Datum & Algorithm (analysis, prediction)"
risk risk related to algorithmic risk risk,doc_86,Financial Technology,None,doc_85,risk risk relate algorithmic risk risk,Noise,"Data Science & Datum & Algorithm (analysis, prediction)"
patterns data related to patterns data learning data about,doc_87,Financial Technology,None,doc_86,patterns datum relate pattern datum learn datum,Noise,"Data Science & Datum & Algorithm (analysis, prediction)"
data training related to neural models intelligence neural related to models artificial training networks including networks,doc_88,AI Technology,Sustainable Energy,doc_87,datum training relate neural model intelligence neural relate model artificial training network include network,Topic_15,"AI & Datum & Artificial (neural, intelligence)"
healthcare prediction also prediction care,doc_89,Healthcare Analytics,None,doc_88,healthcare prediction prediction care,Topic_8,"Healthcare & Prediction & Hospital (analytic, healthcare)"
optimization reinforcement and environments rewards learning policy regarding policy rewards optimization learning including policy agents,doc_90,AI Technology,None,doc_89,optimization reinforcement environment reward learn policy policy reward optimization learn include policy agent,Topic_7,"Optimization & Policy (reinforcement, reward)"
models smart also optimization grid,doc_91,Sustainable Energy,None,doc_90,model smart optimization grid,Topic_6,"Energy & Optimization & Grid (consumption, analysis)"
deep imaging regarding medical pathology medical detection including pathology pathology deep,doc_92,Healthcare Analytics,None,doc_91,deep imaging medical pathology medical detection include pathology pathology deep,Topic_9,"AI & Medical & Detection (imaging, deep)"
transformers tokens and gpt processing generation text regarding tokens,doc_93,AI Technology,None,doc_92,transformer token gpt processing generation text token,Topic_0,"Language & Generation (token, natural)"
distributed blockchain related to ledger contracts contracts smart specifically transactions smart smart cryptocurrency regarding blockchain distributed,doc_94,Financial Technology,None,doc_93,distribute blockchain relate ledger contract contract smart specifically transaction smart smart cryptocurrency blockchain distribute,Topic_4,"Transaction & Distribute (smart, blockchain)"
effectiveness treatment for patient outcomes treatment effectiveness,doc_95,Healthcare Analytics,None,doc_94,effectiveness treatment patient outcomes treatment effectiveness,Topic_16,"Healthcare & Patient & Effectiveness (treatment, outcome)"
prediction algorithms about trading prediction algorithms algorithms and trading algorithms algorithmic algorithmic regarding models models market financial in terms of risk,doc_96,Financial Technology,Data Science,doc_95,prediction algorithm trading prediction algorithm algorithm trading algorithm algorithmic algorithmic model model market financial term risk,Topic_10,"Financial & Analysis & Prediction (market, financial)"
matplotlib matplotlib with visualization data pandas numpy concerning matplotlib matplotlib data projects with,doc_97,Data Science,None,doc_96,matplotlib matplotlib visualization datum panda numpy concern matplotlib matplotlib datum project,Topic_14,"Data Science & Visualization & Datum (matplotlib, science)"
batteries capacity including technology efficiency innovation,doc_98,Sustainable Energy,None,doc_97,battery capacity include technology efficiency innovation,Topic_1,"Energy & Technology & Energy (battery, efficiency)"
optimization learning related to rewards rewards learning optimization concerning policy learning learning optimization concerning,doc_99,AI Technology,None,doc_98,optimization learn relate reward reward learn optimization concern policy learning learn optimization concern,Topic_7,"Optimization & Policy (reinforcement, reward)"
transactions transactions in terms of blockchain transactions cryptocurrency distributed in terms of distributed distributed cryptocurrency smart in terms of,doc_100,Financial Technology,None,doc_99,transaction transaction term blockchain transaction cryptocurrency distribute term distribute distribute cryptocurrency smart term,Topic_4,"Transaction & Distribute (smart, blockchain)"
medical deep in terms of imaging learning learning medical also medical,doc_101,Healthcare Analytics,None,doc_100,medical deep term imaging learning learn medical medical,Topic_9,"AI & Medical & Detection (imaging, deep)"
big pipelines in terms of hadoop processing processing data about processing streaming spark,doc_102,Data Science,None,doc_101,big pipeline term hadoop processing processing datum process stream spark,Topic_2,"Datum & Computation (big, spark)"
technology capacity about energy innovation,doc_103,Sustainable Energy,None,doc_102,technology capacity energy innovation,Topic_1,"Energy & Technology & Energy (battery, efficiency)"
processing text with processing language bert tokens with processing tokens text processing including tokens bert,doc_104,AI Technology,None,doc_103,processing text processing language bert tokens processing token text processing include tokens bert,Topic_0,"Language & Generation (token, natural)"
data monitoring for prediction impact analysis climate related to impact models prediction emissions related to,doc_105,Sustainable Energy,AI Technology,doc_104,datum monitoring prediction impact analysis climate relate impact model prediction emission relate,Topic_11,"Energy & Impact & Carbon (datum, emission)"
batteries innovation and technology energy capacity batteries also technology energy efficiency technology specifically,doc_106,Sustainable Energy,None,doc_105,battery innovation technology energy capacity battery technology energy efficiency technology specifically,Topic_1,"Energy & Technology & Energy (battery, efficiency)"
training neural specifically learning algorithms deep deep with neural artificial neural algorithms specifically networks,doc_107,AI Technology,None,doc_106,training neural specifically learn algorithm deep deep neural artificial neural algorithm specifically network,Noise,"Data Science & Datum & Algorithm (analysis, prediction)"
prediction renewable about renewable renewable optimization forecasting and renewable renewable prediction solar regarding,doc_108,Sustainable Energy,AI Technology,doc_107,prediction renewable renewable renewable optimization forecasting renewable renewable prediction solar,Noise,"Data Science & Datum & Algorithm (analysis, prediction)"
efficiency solar and prediction efficiency wind solar specifically solar renewable prediction energy about energy wind energy generation related to,doc_109,Sustainable Energy,AI Technology,doc_108,efficiency solar prediction efficiency wind solar specifically solar renewable prediction energy energy wind energy generation relate,Topic_3,"Energy & Efficiency & Hydroelectric (generation, energy)"
prediction regression in terms of vision machine vision prediction and machine regression learning regression and,doc_110,AI Technology,None,doc_109,prediction regression term vision machine vision prediction machine regression learn regression,Topic_12,"AI & Classification & Prediction (regression, machine)"
power efficiency and efficiency energy efficiency,doc_111,Sustainable Energy,None,doc_110,power efficiency efficiency energy efficiency,Topic_3,"Energy & Efficiency & Hydroelectric (generation, energy)"
data data concerning intelligence intelligence neural intelligence for learning training learning intelligence with artificial intelligence algorithms networks including,doc_112,AI Technology,None,doc_111,data datum concern intelligence intelligence neural intelligence learn training learn intelligence artificial intelligence algorithm network include,Topic_15,"AI & Datum & Artificial (neural, intelligence)"
accuracy predictive about classification learning classification,doc_113,Data Science,None,doc_112,accuracy predictive classification learn classification,Noise,"Data Science & Datum & Algorithm (analysis, prediction)"
generation generation with natural generation processing gpt about processing gpt natural natural related to transformers bert transformers language,doc_114,AI Technology,None,doc_113,generation generation natural generation processing gpt process gpt natural natural relate transformer bert transformer language,Topic_0,"Language & Generation (token, natural)"
classification machine concerning predictive prediction classification accuracy with classification data analysis patient data,doc_115,Data Science,Healthcare Analytics,doc_114,classification machine concern predictive prediction classification accuracy classification datum analysis patient datum,Noise,"Data Science & Datum & Algorithm (analysis, prediction)"
classification classification specifically insights statistics analysis visualization in terms of regression prediction statistics,doc_116,Data Science,AI Technology,doc_115,classification classification specifically insight statistic analysis visualization term regression prediction statistic,Noise,"Data Science & Datum & Algorithm (analysis, prediction)"
blockchain blockchain for ledger contracts transactions contracts including distributed,doc_117,Financial Technology,None,doc_116,blockchain blockchain ledger contract transaction contract include distribute,Topic_4,"Transaction & Distribute (smart, blockchain)"
data carbon in terms of data emissions emissions data including analysis reduction carbon data for data carbon impact,doc_118,Sustainable Energy,None,doc_117,data carbon term data emission emission datum include analysis reduction carbon datum datum carbon impact,Topic_11,"Energy & Impact & Carbon (datum, emission)"
data clinical concerning systems evidence evidence decision,doc_119,Healthcare Analytics,None,doc_118,datum clinical concern system evidence evidence decision,Noise,"Data Science & Datum & Algorithm (analysis, prediction)"
monitoring climate including data data reduction emissions about data,doc_120,Sustainable Energy,None,doc_119,monitor climate include data datum reduction emission datum,Topic_11,"Energy & Impact & Carbon (datum, emission)"
efficiency storage about efficiency batteries energy innovation concerning capacity batteries,doc_121,Sustainable Energy,None,doc_120,efficiency storage efficiency battery energy innovation concern capacity battery,Topic_1,"Energy & Technology & Energy (battery, efficiency)"
detection fraud concerning fraud analysis machine detection for data detection learning detection,doc_122,Financial Technology,None,doc_121,detection fraud concern fraud analysis machine detection datum detection learn detection,Topic_13,"Financial & Fraud & Detection (financial, datum)"
algorithms prediction including algorithmic algorithmic financial analysis with market algorithms algorithms data analysis related to risk risk algorithmic,doc_123,Financial Technology,Data Science,doc_122,algorithms prediction include algorithmic algorithmic financial analysis market algorithm algorithm datum analysis relate risk risk algorithmic,Topic_10,"Financial & Analysis & Prediction (market, financial)"
trading prediction for models risk financial trading specifically market algorithmic financial models in terms of,doc_124,Financial Technology,None,doc_123,trading prediction model risk financial trading specifically market algorithmic financial model term,Topic_10,"Financial & Analysis & Prediction (market, financial)"
consumption grid with forecasting forecasting forecasting grid with grid analysis smart,doc_125,Sustainable Energy,None,doc_124,consumption grid forecasting forecasting forecasting grid grid analysis smart,Topic_6,"Energy & Optimization & Grid (consumption, analysis)"
prediction algorithms related to models prediction models prediction regarding prediction prediction analysis prediction related to,doc_126,Financial Technology,Data Science,doc_125,prediction algorithm relate model prediction model prediction prediction prediction analysis prediction relate,Noise,"Data Science & Datum & Algorithm (analysis, prediction)"
innovation data analysis concerning banking payments banking data analysis also technology technology fintech,doc_127,Financial Technology,Data Science,doc_126,innovation datum analysis concern banking payment banking datum analysis technology technology fintech,Noise,"Data Science & Datum & Algorithm (analysis, prediction)"
processing data in terms of data big big,doc_128,Data Science,None,doc_127,process datum term datum big big,Noise,"Data Science & Datum & Algorithm (analysis, prediction)"
data artificial in terms of deep intelligence neural,doc_129,AI Technology,None,doc_128,datum artificial term deep intelligence neural,Topic_15,"AI & Datum & Artificial (neural, intelligence)"
data statistics related to data analysis correlation regression about analysis statistics analysis regression for regression visualization,doc_130,Data Science,None,doc_129,data statistic relate datum analysis correlation regression analysis statistic analysis regression regression visualization,Topic_14,"Data Science & Visualization & Datum (matplotlib, science)"
carbon monitoring specifically analysis reduction reduction data for,doc_131,Sustainable Energy,None,doc_130,carbon monitor specifically analysis reduction reduction datum,Noise,"Data Science & Datum & Algorithm (analysis, prediction)"
